TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20020101,-14.002,0,113.333,57.758,0.666667,193.288,0,0,0,98.392,0,0.066,0,1.458,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,18.0201,-9999,-9999,-9999,-9999,-9999,55.3037,-9999,-9999,-9999,-9999,-9999,0.220563,0,-9999,0.216466,0.220563,0.220563,0,0,0,0.0698421,0.0587701,0.0697076,0.0718494,-0.148713,-0.155797,-0.150721,-0.148713,0.124278,0.124278,0.124278,1.08815,0,0,0,0.494806,-9999,-9999
20020102,-16.364,0,113.949,62.888,0.666667,169.295,0,0,0,98.257,0,0,0,2.023,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,19.2527,-9999,-9999,-9999,-9999,-9999,53.7573,-9999,-9999,-9999,-9999,-9999,0.371675,0,-9999,0.371675,0.371675,0.382207,0,0,0,0.0514325,0.0420372,0.0513151,0.0531922,-0.318483,-0.390188,-0.322937,-0.319014,0.109695,0.109695,0.109695,0.960465,0,0,0,0.509259,-9999,-9999
20020103,-11.818,0,114.624,61.056,0.666667,203.461,0,0.095,0,97.237,0,0,0,2.805,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,16.4271,-9999,-9999,-9999,-9999,-9999,18.3738,-9999,-9999,-9999,-9999,-9999,0.442155,0,-9999,0.436989,0.442155,0.442155,0,0,0,0.0929123,0.0813117,0.0927746,0.0949639,-0.347191,-0.355312,-0.349243,-0.347191,0.136897,0.136897,0.136897,1.19864,0,0,0,0.503058,-9999,-9999
20020104,-7.449,0,115.358,58.215,0.666667,237.303,0,0.09,0,96.452,0,0.069,0,1.877,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,18.0201,-9999,-9999,-9999,-9999,-9999,55.3037,-9999,-9999,-9999,-9999,-9999,0.220563,0,-9999,0.216466,0.220563,0.220563,0,0,0,0.138414,0.125823,0.138268,0.140574,-0.079989,-0.0897522,-0.0822944,-0.079989,0.162229,0.162229,0.162229,1.42044,0,0,0,0.489129,-9999,-9999
20020105,-4.762,0,116.149,46.344,0.666667,267.454,0,0.173,0,96.589,0,0.119,0,2.105,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,19.2527,-9999,-9999,-9999,-9999,-9999,53.7573,-9999,-9999,-9999,-9999,-9999,0.371675,0,-9999,0.371675,0.371675,0.382207,0,0,0,0.173767,0.161852,0.173639,0.175525,-0.196023,-0.276197,-0.200885,-0.196587,0.176345,0.176345,0.176345,1.54404,0,0,0,0.457751,-9999,-9999
20020106,-12.319,0,117,55.332,0.666667,207.692,0,0.002,0,97.485,0,0.209,0,2.323,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,16.4271,-9999,-9999,-9999,-9999,-9999,18.3738,-9999,-9999,-9999,-9999,-9999,0.442155,0,-9999,0.436989,0.442155,0.442155,0,0,0,0.0871251,0.0754875,0.0869865,0.08919,-0.352965,-0.361157,-0.35503,-0.352965,0.134105,0.134105,0.134105,1.1742,0,0,0,0.49,-9999,-9999
20020107,-11.352,0,117.908,68.214,0.666667,198.456,0,0.188,0,96.853,0,0,0,2.803,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,18.0201,-9999,-9999,-9999,-9999,-9999,55.3037,-9999,-9999,-9999,-9999,-9999,0.220563,0,-9999,0.216466,0.220563,0.220563,0,0,0,0.10199,0.0911184,0.101861,0.103906,-0.116657,-0.124354,-0.118573,-0.116657,0.138923,0.138923,0.138923,1.21638,0,0,0,0.523072,-9999,-9999
20020108,-0.129,0,118.874,56.644,0.666667,267.294,0,0.64,0,95.495,0,0.486,0,2.805,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,19.2527,-9999,-9999,-9999,-9999,-9999,53.7573,-9999,-9999,-9999,-9999,-9999,0.371675,0,-9999,0.371675,0.371675,0.382207,0,0,0,0.24099,0.231748,0.239414,0.241687,-0.129691,-0.213011,-0.132261,-0.129988,0.198974,0.198974,0.198974,1.74218,0,0,0,0.493632,-9999,-9999
20020109,1.91,0,119.899,64.927,0.666667,277.724,0,0.7,0,95.577,0,0.833,0,3.416,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,16.4271,-9999,-9999,-9999,-9999,-9999,18.3738,-9999,-9999,-9999,-9999,-9999,0.442155,0,-9999,0.436989,0.442155,0.442155,0,0,0,0.270322,0.261935,0.269306,0.270767,-0.171198,-0.175133,-0.171518,-0.171182,0.209071,0.209071,0.209071,1.83058,0,0,0,0.513011,-9999,-9999
20020110,-1.429,0,120.981,14.704,0.645833,300.163,0,0.063,0,96.714,0,0.633,0,2.57,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,1,18.0201,-9999,-9999,-9999,-9999,-9999,55.3037,-9999,-9999,-9999,-9999,-9999,0.220563,0,-9999,0.216466,0.220563,0.220563,0,0,0,0.219837,0.209276,0.219212,0.220827,0.000686455,-0.00729023,-0.000820927,0.000686455,0.193307,0.193307,0.193307,1.69255,0,0,0,0.289654,-9999,-9999
