TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20090101,2.803,0,186.71,123.108,0,261.302,0,1.919,0,93.82,0,0,0,3.143,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,67.1459,0,43.8414,-9999,-9999,-9999,20.3876,0,13.3116,-9999,-9999,-9999,2.08802,0,-9999,2.08802,2.09217,2.1165,0,0,0,2.10027,1.79715,2.04359,2.12952,0.0122488,-0.290866,-0.052545,0.0122488,1.01942,1.01076,1.02834,1.04074,2.26843,2.2648,2.26787,2.27047,-9999,-9999
20090102,2.518,0,187.329,121.842,0,268.946,0,0.992,0,93.578,0,0,0,2.093,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,92.8616,0,60.9673,-9999,-9999,-9999,32.6505,0,21.4364,-9999,-9999,-9999,1.98167,0,-9999,1.96388,1.98167,1.98575,0,0,0,2.07097,1.77211,2.01494,2.09993,0.0893078,-0.207485,0.0510604,0.109166,1.01152,1.00307,1.02021,1.03267,2.26237,2.25871,2.26183,2.26349,-9999,-9999
20090103,5.518,0,188.008,124.241,0,268.004,0,2.795,0,93.129,0,0,0,4.403,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,75.8029,0,50.3151,-9999,-9999,-9999,20.0569,0,13.313,-9999,-9999,-9999,1.75478,0,-9999,1.75224,1.75854,1.75854,0,0,0,2.50149,2.24272,2.45327,2.52538,0.746708,0.487941,0.694732,0.769708,1.4839,1.47449,1.49305,1.51455,2.27958,2.27597,2.27902,2.28222,-9999,-9999
20090104,-3.753,0,188.742,113.793,0,246.675,0,0.892,0,95.169,0,0,0,4.336,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,67.1459,0,45.0539,-9999,-9999,-9999,20.3876,0,13.6798,-9999,-9999,-9999,2.08802,0,-9999,2.08802,2.09217,2.1165,0,0,0,1.28685,0.984541,1.2282,1.31767,-0.801168,-1.10348,-0.863977,-0.796825,0.396896,0.391718,0.402551,0.406449,2.19105,2.18323,2.19017,2.19105,-9999,-9999
20090105,-2.214,0,189.534,124.332,0,244.478,0,1.304,0,94.304,0,0,0,2.417,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,92.8616,0,62.6443,-9999,-9999,-9999,32.6505,0,22.026,-9999,-9999,-9999,1.98167,0,-9999,1.96388,1.98167,1.98575,0,0,0,1.46721,1.15859,1.40794,1.49822,-0.51445,-0.821011,-0.555934,-0.492908,0.515804,0.509767,0.522313,0.52789,2.28248,2.27885,2.28192,2.28498,-9999,-9999
20090106,0.928,0,190.383,88.264,0,261.866,0,1.638,0,93.102,0,0,0,3.443,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,75.8029,0,51.4663,-9999,-9999,-9999,20.0569,0,13.6176,-9999,-9999,-9999,1.75478,0,-9999,1.75224,1.75854,1.75854,0,0,0,1.85225,1.54038,1.79342,1.88276,0.0974678,-0.214397,0.0348825,0.126849,0.801226,0.793491,0.809351,0.817978,2.02276,1.99898,2.0213,2.02276,-9999,-9999
20090107,3.169,0,191.287,125.031,0,268.329,0,2.362,0,93.376,0,0,0,3.153,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,67.1459,0,45.8809,-9999,-9999,-9999,20.3876,0,13.9309,-9999,-9999,-9999,2.08802,0,-9999,2.08802,2.09217,2.1165,0,0,0,2.17298,1.8888,2.11967,2.2005,0.0849662,-0.199221,0.0173596,0.0849662,1.14133,1.13274,1.14997,1.16519,2.28536,2.28175,2.2848,2.28822,-9999,-9999
20090108,5.223,0,192.247,124.905,0,281.82,0,1.726,0,93.934,0,0,0,2.584,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,92.8616,0,64.2698,-9999,-9999,-9999,32.6505,0,22.5975,-9999,-9999,-9999,1.98167,0,-9999,1.96388,1.98167,1.98575,0,0,0,2.45434,2.18704,2.40461,2.47899,0.472673,0.209158,0.431283,0.475291,1.41445,1.40498,1.42376,1.44363,2.29423,2.2906,2.29366,2.29696,-9999,-9999
20090109,5.96,0,193.263,129.398,0,277.286,0,2.111,0,93.681,0,0,0,4.723,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,75.8029,0,53.1131,-9999,-9999,-9999,20.0569,0,14.0533,-9999,-9999,-9999,1.75478,0,-9999,1.75224,1.75854,1.75854,0,0,0,2.53811,2.26294,2.48735,2.5632,0.783333,0.508158,0.72881,0.807359,1.4465,1.43641,1.45649,1.47632,2.3179,2.31436,2.3179,2.32318,-9999,-9999
20090110,-1.398,0,194.333,134.406,0,236.352,0,0.827,0,95.19,0,0,0,4.14,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,67.1459,0,47.5669,-9999,-9999,-9999,20.3876,0,14.4428,-9999,-9999,-9999,2.08802,0,-9999,2.08802,2.09217,2.1165,0,0,0,1.56306,1.25169,1.50355,1.59412,-0.524958,-0.836328,-0.588624,-0.520772,0.581601,0.575127,0.588536,0.59507,2.35616,2.35272,2.35616,2.36374,-9999,-9999
