date,t_avg,sw_pot,sw_in,lw_in,vpd,ppt,ws,Rn,sw_out,lw_out,G,LE,LE_corrected,H,H_corrected,a_qc_value,swrad_flag
1/1/2009,2.803,186.71,123.108,261.302,1.919,0,3.143,,,,,67.1459,43.8414,20.3876,13.3116,0,x
1/2/2009,2.518,187.329,121.842,268.946,0.992,0,2.093,,,,,92.8616,60.9673,32.6505,21.4364,0,x
1/3/2009,5.518,188.008,124.241,268.004,2.795,0,4.403,,,,,75.8029,50.3151,20.0569,13.313,0,x
1/4/2009,-3.753,188.742,113.793,246.675,0.892,0,4.336,,,,,67.1459,45.0539,20.3876,13.6798,0,x
1/5/2009,-2.214,189.534,124.332,244.478,1.304,0,2.417,,,,,92.8616,62.6443,32.6505,22.026,0,x
1/6/2009,0.928,190.383,88.264,261.866,1.638,0,3.443,,,,,75.8029,51.4663,20.0569,13.6176,0,x
1/7/2009,3.169,191.287,125.031,268.329,2.362,0,3.153,,,,,67.1459,45.8809,20.3876,13.9309,0,x
1/8/2009,5.223,192.247,124.905,281.82,1.726,0,2.584,,,,,92.8616,64.2698,32.6505,22.5975,0,x
1/9/2009,5.96,193.263,129.398,277.286,2.111,0,4.723,,,,,75.8029,53.1131,20.0569,14.0533,0,x
1/10/2009,-1.398,194.333,134.406,236.352,0.827,0,4.14,,,,,67.1459,47.5669,20.3876,14.4428,0,x
1/11/2009,2.649,195.458,131.857,263.773,2.09,0,2.539,,,,,92.8616,66.6487,32.6505,23.434,0,x
1/12/2009,3.708,196.637,89.676,268.044,2.525,0,5.413,,,,,75.8029,54.9918,20.0569,14.5504,0,x
1/13/2009,0.286,197.869,133.556,244.089,1.772,0,3.493,,,,,67.1459,49.0103,20.3876,14.8811,0,x
1/14/2009,2.046,199.155,119.622,270.557,1.716,0,4.063,,,,,92.8616,67.8584,32.6505,23.8593,0,x
1/15/2009,-6.892,200.492,124.16,242.873,0.092,0.178,2.375,,,,,75.8029,55.4949,20.0569,14.6835,0,x
1/16/2009,-0.839,201.88,136.365,254.446,1.492,0,3.269,,,,,67.1459,49.4901,20.3876,15.0267,0,x
1/17/2009,5.13,203.32,139.071,265.369,2.92,0,4.12,,,,,92.8616,68.9045,32.6505,24.2271,0,x
1/18/2009,8.457,204.81,136.759,273.39,5.045,0,4.758,,,,,75.8029,56.5839,20.0569,14.9717,0,x
1/19/2009,8.87,206.349,138.552,276.289,4.675,0,5.139,,,,,67.1459,50.2678,20.3876,15.2629,0,x
1/20/2009,4.894,207.938,142.86,256.833,2.303,0,3.374,,,,,92.8616,69.6741,32.6505,24.4977,0,x
1/21/2009,6.17,209.574,148.421,252.313,3.865,0,2.921,,,,,75.8029,57.0011,20.0569,15.0821,0,x
1/22/2009,5.912,211.257,143.841,258.735,3.746,0,2.477,,,,,67.1459,50.4572,20.3876,15.3204,0,x
1/23/2009,2.04,212.987,109.229,281.479,1.436,0,4.808,,,,,92.8616,69.9361,32.6505,24.5898,0,x
1/24/2009,-5.253,214.763,144.48,242.861,0.425,0,2.913,,,,,75.8029,57.2535,20.0569,15.1488,0,x
1/25/2009,-4.774,216.584,144.451,244.421,0.595,0,3.241,,,,,67.1459,50.8609,20.3876,15.4429,0,x
