date,t_avg,sw_pot,sw_in,lw_in,vpd,ppt,ws,Rn,sw_out,lw_out,G,LE,LE_corrected,H,H_corrected,added_G_col,another_G_var,soil_moisture_z1,soil_moisture_z10
2009-01-01,2.803,186.71,123.108,261.302,1.919,0,3.143,,,,,67.1459,43.8414,20.3876,13.3116,,,20.5732702144342,26.9428601774704
2009-01-02,2.518,187.329,121.842,268.946,0.992,0,2.093,,,,,92.8616,60.9673,32.6505,21.4364,,,20.2508703230035,26.6017088355588
2009-01-03,5.518,188.008,124.241,268.004,2.795,0,4.403,,,,,75.8029,50.3151,20.0569,13.313,,,20.8272363876881,26.6445983502466
2009-01-04,-3.753,188.742,113.793,246.675,0.892,0,4.336,,,,,67.1459,45.0539,20.3876,13.6798,,,20.9887565997296,26.8435884397957
2009-01-05,-2.214,189.534,124.332,244.478,1.304,0,2.417,,,,,92.8616,62.6443,32.6505,22.026,,,20.75652702555,26.2621460774705
2009-01-06,0.928,190.383,88.264,261.866,1.638,0,3.443,,,,,75.8029,51.4663,20.0569,13.6176,,,20.177699703941,26.7269370821884
2009-01-07,3.169,191.287,125.031,268.329,2.362,0,3.153,,,,,67.1459,45.8809,20.3876,13.9309,,,20.7483156092012,26.545238612457
2009-01-08,5.223,192.247,124.905,281.82,1.726,0,2.584,,,,,92.8616,64.2698,32.6505,22.5975,,,21.0575638032337,26.9574324637763
2009-01-09,5.96,193.263,129.398,277.286,2.111,0,4.723,,,,,75.8029,53.1131,20.0569,14.0533,,,21.0280926993171,26.0743534652704
2009-01-10,-1.398,194.333,134.406,236.352,0.827,0,4.14,,,,,67.1459,47.5669,20.3876,14.4428,,,20.293890681086,26.5805795920558
2009-01-11,2.649,195.458,131.857,263.773,2.09,0,2.539,,,,,92.8616,66.6487,32.6505,23.434,,,21.0924949773368,26.6782230007295
2009-01-12,3.708,196.637,89.676,268.044,2.525,0,5.413,,,,,75.8029,54.9918,20.0569,14.5504,,,20.4909187507369,26.7560514964671
2009-01-13,0.286,197.869,133.556,244.089,1.772,0,3.493,,,,,67.1459,49.0103,20.3876,14.8811,,,21.1800621806127,27.045992639634
2009-01-14,2.046,199.155,119.622,270.557,1.716,0,4.063,,,,,92.8616,67.8584,32.6505,23.8593,,,20.3554110531618,26.2091756116762
2009-01-15,-6.892,200.492,124.16,242.873,0.092,0.178,2.375,,,,,75.8029,55.4949,20.0569,14.6835,,,21.0910358629251,26.8431988110036
2009-01-16,-0.839,201.88,136.365,254.446,1.492,0,3.269,,,,,67.1459,49.4901,20.3876,15.0267,,,20.639132421881,26.2913853558068
